time,GPS1,GPS2,A,B,C
9:58:41,49.74397,13.3691566666667,152,200,89
9:58:41,49.74397,13.3691566666667,152,200,89
9:58:41,49.74397,13.3691566666667,152,200,89
9:58:41,49.74397,13.3691566666667,152,200,89
9:58:41,49.74397,13.3691566666667,152,200,83
9:58:41,49.74397,13.3691566666667,152,200,83
9:58:41,49.74397,13.3691566666667,152,200,83
9:58:41,49.74397,13.3691566666667,152,200,83
9:58:41,49.74397,13.3691566666667,152,200,83
9:58:42,49.74397,13.3691566666667,152,200,83
9:58:42,49.74397,13.3691566666667,152,200,80
9:58:42,49.74397,13.3691566666667,152,200,80
9:58:42,49.74397,13.3691566666667,152,200,80
9:58:42,49.74397,13.3691566666667,152,200,80
9:58:42,49.74397,13.3691566666667,127,200,80
9:58:42,49.74397,13.3691566666667,127,200,80
9:58:42,49.74397,13.3691566666667,127,200,79
9:58:42,49.74397,13.3691566666667,127,200,79
9:58:42,49.74397,13.3691566666667,127,200,79
9:58:42,49.74397,13.3691566666667,127,200,79
9:58:42,49.74397,13.3691566666667,135,200,79
9:58:42,49.74397,13.3691566666667,135,200,79
9:58:42,49.74397,13.3691566666667,135,200,79
9:58:42,49.74397,13.3691566666667,135,200,79
9:58:42,49.74397,13.3691566666667,135,200,79
9:58:42,49.74397,13.3691566666667,137,200,77
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:43,49.74397,13.3691566666667,159,200,78
9:58:44,49.74397,13.3691566666667,159,200,78
9:58:44,49.74397,13.3691566666667,159,200,78
9:58:44,49.74397,13.3691566666667,159,200,78
9:58:44,49.74397,13.3691566666667,159,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
9:58:44,49.74397,13.3691566666667,110,200,78
